PM25,PM10,CO,NO2,SO2,O3,predicted_PM25,Predicted_PM25_real,PM25_real,predicted_PM10,Predicted_PM10_real,PM10_real,predicted_CO,Predicted_CO_real,CO_real,predicted_NO2,Predicted_NO2_real,NO2_real,predicted_SO2,Predicted_SO2_real,SO2_real,predicted_O3,Predicted_O3_real,O3_real,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,season_spring,season_summer,season_winter,avgtemp,avgrh,minrh,avgws,maxws,maxwswd,extremews,extremewswd,daylight,precipitation
3.629660094453965,3.973494327516247,4.51085950651685,2.780060737078482,1.1314021114911006,3.305053521109253,3.5212543,32.82683,36.699999999999996,3.67881,38.59924,52.17,6.0561514,425.72995,89.99999999999997,2.5539007,11.857159,15.119999999999997,1.6607307,4.2631555,2.1,3.9198809,49.39444,26.25,-0.41449507524321805,-0.4186379485411743,-0.3970393332005246,-0.3899606357074357,-0.3835376149224138,2.683026301955741,-0.21945642127910145,-0.30356759489697327,-0.2825555138432935,-0.29612060855578654,-0.3010989741847774,-0.28427564278974277,-0.30109897418477743,3.377002380472985,-0.3076527356636323,-0.31331316221103583,-0.3125085968556157,-0.2927700218845599,-0.4075517054266865,-0.4068546077652136,-0.40894436648589017,2.457880483381614,-0.41102957618643454,-0.4068546077652136,1.8096961070853859,-0.5943962929568426,-0.6008332285292086,0.05571986569149414,1.596923777181733,1.7262837300323806,1.5931361389183851,0.5782799343295664,-1.3495440319622802,0.7890475137603533,-1.1103883306834137,-1.2556771481988338,3.5381144351729232
3.5843519247600018,4.382026634673881,5.602118820879701,2.7107133185216936,1.6486586255873816,4.131158535344817,3.914909,49.1445,35.029999999999994,4.574424,95.972145,78.99999999999997,6.4735146,646.7563,270.00000000000006,2.915551,17.458979,14.039999999999997,1.4285156,3.1725006,4.2,4.324541,74.530846,61.24999999999997,-0.41449507524321805,-0.4186379485411743,-0.3970393332005246,-0.3899606357074357,-0.3835376149224138,2.683026301955741,-0.21945642127910145,-0.30356759489697327,-0.2825555138432935,-0.29612060855578654,-0.3010989741847774,-0.28427564278974277,-0.30109897418477743,3.377002380472985,-0.3076527356636323,-0.31331316221103583,-0.3125085968556157,-0.2927700218845599,-0.4075517054266865,-0.4068546077652136,-0.40894436648589017,-0.4068546077652136,2.4329149480630576,-0.4068546077652136,1.8096961070853859,-0.5943962929568426,-0.6008332285292086,0.09101611718727676,1.3306956767239984,1.568511600597826,0.5631585431057256,0.07265460095302105,0.9516015609990436,0.25671046884563814,0.9900881375259656,-1.1606912141975854,-0.3557274204398976
3.3502549029245805,4.1588830833596715,5.198497031265826,2.5556757206762075,1.1314021114911006,3.9560398908449206,3.6483932,37.41289,27.509999999999998,4.8535523,127.19498,62.99999999999998,5.965751,388.84576,180.00000000000006,3.3377557,27.155865,11.879999999999999,2.3354516,9.3341255,2.1,4.649632,103.5465,51.25000000000001,-0.41449507524321805,-0.4186379485411743,-0.3970393332005246,-0.3899606357074357,-0.3835376149224138,2.683026301955741,-0.21945642127910145,-0.30356759489697327,-0.2825555138432935,-0.29612060855578654,-0.3010989741847774,-0.28427564278974277,-0.30109897418477743,3.377002380472985,-0.3076527356636323,-0.31331316221103583,-0.3125085968556157,-0.2927700218845599,-0.4075517054266865,-0.4068546077652136,-0.40894436648589017,-0.4068546077652136,-0.41102957618643454,2.457880483381614,1.8096961070853859,-0.5943962929568426,-0.6008332285292086,0.5233951980106155,-0.37316416620550347,-0.1856053789967562,-0.6357121623391363,-0.6857833991117972,-0.42908579477775066,-0.6963138053882445,-1.1103883306834137,1.4989149378373694,-0.3557274204398976
2.546315277916644,5.488937726156687,5.198497031265826,2.5556757206762075,1.5040773967762742,3.8010914447208646,3.6349552,36.900154,11.76,5.1116138,164.93793,241.00000000000009,5.9315104,375.7231,180.00000000000006,3.058503,20.295652,11.879999999999999,1.8183428,5.1616387,3.5,4.6177406,100.26498,43.75000000000001,-0.41449507524321805,-0.4186379485411743,-0.3970393332005246,-0.3899606357074357,-0.3835376149224138,2.683026301955741,-0.21945642127910145,-0.30356759489697327,-0.2825555138432935,-0.29612060855578654,-0.3010989741847774,-0.28427564278974277,-0.30109897418477743,3.377002380472985,-0.3076527356636323,-0.31331316221103583,-0.3125085968556157,-0.2927700218845599,-0.4075517054266865,-0.4068546077652136,-0.40894436648589017,-0.4068546077652136,-0.41102957618643454,-0.4068546077652136,1.8096961070853859,-0.5943962929568426,-0.6008332285292086,0.5233951980106155,-0.9588659872125197,-0.754984248160467,1.737543617123793,1.134467801043766,0.7214870017029112,0.9721928615776655,0.756701863280479,1.2851965863345605,-0.3557274204398976
3.3826939100975957,4.955827057601261,5.198497031265826,3.0689827352935835,1.8870696490323797,4.627420794922911,3.6825228,38.74654,28.45,4.966153,142.4739,141.00000000000003,5.9662986,389.05923,180.00000000000006,3.1954134,23.420265,20.519999999999996,2.0553038,6.80921,5.599999999999999,4.636578,102.190636,101.25000000000003,-0.41449507524321805,-0.4186379485411743,-0.3970393332005246,-0.3899606357074357,-0.3835376149224138,2.683026301955741,-0.21945642127910145,-0.30356759489697327,-0.2825555138432935,-0.29612060855578654,-0.3010989741847774,-0.28427564278974277,-0.30109897418477743,3.377002380472985,-0.3076527356636323,-0.31331316221103583,-0.3125085968556157,-0.2927700218845599,2.453676396601136,-0.4068546077652136,-0.40894436648589017,-0.4068546077652136,-0.41102957618643454,-0.4068546077652136,1.8096961070853859,-0.5943962929568426,-0.6008332285292086,0.5145711351366697,-0.8523747470294258,-0.06712630022226108,0.46097051989397775,0.5782799343295664,0.7214870017029112,0.5351182633277725,0.756701863280479,1.2377036193339364,-0.3557274204398976
3.544431549748063,4.430816798843313,5.198497031265826,2.5556757206762075,1.7749523509116738,4.590056548178043,3.9879591,52.944683,33.61999999999999,4.922948,136.40707,82.99999999999999,6.3489814,570.90985,180.00000000000006,3.0560513,20.243505,11.879999999999999,2.0685139,6.9130545,4.9,4.6598635,104.62166,97.49999999999999,-0.41449507524321805,-0.4186379485411743,-0.3970393332005246,-0.3899606357074357,-0.3835376149224138,2.683026301955741,-0.21945642127910145,-0.30356759489697327,-0.2825555138432935,-0.29612060855578654,-0.3010989741847774,-0.28427564278974277,-0.30109897418477743,3.377002380472985,-0.3076527356636323,-0.31331316221103583,-0.3125085968556157,-0.2927700218845599,-0.4075517054266865,2.457880483381614,-0.40894436648589017,-0.4068546077652136,-0.41102957618643454,-0.4068546077652136,1.8096961070853859,-0.5943962929568426,-0.6008332285292086,0.6116358267500723,-0.0004448255646749145,0.19939717254743344,-1.0998404293987936,-0.584658332436488,0.031143323814514078,-0.3559075176804766,0.05654304054401923,0.7865204328280064,-0.3557274204398976
3.3985271531062766,4.820281565605037,6.447305862541213,2.8449093838194073,1.8870696490323797,4.409763389645481,3.8212843,44.662815,28.920000000000005,4.4804373,87.27326,123.00000000000003,6.1062126,447.63632,629.9999999999998,2.9965785,19.016932,16.2,1.9343264,5.9193816,5.599999999999999,4.665925,105.26384,81.24999999999999,-0.41449507524321805,-0.4186379485411743,-0.3970393332005246,-0.3899606357074357,-0.3835376149224138,2.683026301955741,-0.21945642127910145,-0.30356759489697327,-0.2825555138432935,-0.29612060855578654,-0.3010989741847774,-0.28427564278974277,-0.30109897418477743,3.377002380472985,-0.3076527356636323,-0.31331316221103583,-0.3125085968556157,-0.2927700218845599,-0.4075517054266865,-0.4068546077652136,2.44532039551767,-0.4068546077652136,-0.41102957618643454,-0.4068546077652136,1.8096961070853859,-0.5943962929568426,-0.6008332285292086,0.9116539644642255,-0.6393922666632381,0.04416768695405716,0.5631585431057256,0.07265460095302105,-0.42908579477775066,0.3837688652982475,-0.17684323370146737,1.3089430698348727,-0.3557274204398976
4.09933210373314,4.430816798843313,6.111467339502679,2.7107133185216936,1.6486586255873816,3.6176519448255684,3.7762337,42.651325,59.300000000000004,4.173712,63.95611,82.99999999999999,6.05795,426.49817,450.0000000000001,2.7862475,15.220039,14.039999999999997,1.8108202,5.1154613,4.2,4.215366,66.71894,36.24999999999999,-0.41449507524321805,-0.4186379485411743,-0.3970393332005246,-0.3899606357074357,-0.3835376149224138,2.683026301955741,-0.21945642127910145,-0.30356759489697327,-0.2825555138432935,-0.29612060855578654,-0.3010989741847774,-0.28427564278974277,-0.30109897418477743,3.377002380472985,-0.3076527356636323,-0.31331316221103583,-0.3125085968556157,-0.2927700218845599,-0.4075517054266865,-0.4068546077652136,-0.40894436648589017,2.457880483381614,-0.41102957618643454,-0.4068546077652136,1.8096961070853859,-0.5943962929568426,-0.6008332285292086,0.6292839524979637,0.5852569954423413,0.9927026423388098,1.364021250140194,0.022092067615366247,-0.8893149133700154,0.5351182633277725,-0.6436157821924405,-0.6620150606910313,-0.3557274204398976
3.720862499966987,5.159055299214529,6.293419278846481,3.017493765335504,1.33500106673234,3.7727609380946383,3.8935068,48.082706,40.29999999999999,4.232282,67.87424,173.0,6.026319,413.1876,539.9999999999998,2.5350027,11.616465,19.440000000000005,1.466856,3.3355827,2.8,3.9566655,51.2827,42.49999999999999,-0.41449507524321805,-0.4186379485411743,-0.3970393332005246,-0.3899606357074357,-0.3835376149224138,2.683026301955741,-0.21945642127910145,-0.30356759489697327,-0.2825555138432935,-0.29612060855578654,-0.3010989741847774,-0.28427564278974277,-0.30109897418477743,3.377002380472985,-0.3076527356636323,-0.31331316221103583,-0.3125085968556157,-0.2927700218845599,-0.4075517054266865,-0.4068546077652136,-0.40894436648589017,-0.4068546077652136,2.4329149480630576,-0.4068546077652136,1.8096961070853859,-0.5943962929568426,-0.6008332285292086,0.3998583177753757,0.7449938557169822,1.2618356230956649,1.2839969268895317,1.7412182010956203,-0.1989712354816183,1.7653463690836737,-0.17684323370146737,-1.1606912141975854,-0.3557274204398976
3.906004933102583,3.839667343236006,5.198497031265826,2.468099531471619,1.1314021114911006,3.855452653939752,3.8845847,47.646732,48.699999999999996,4.468242,86.2033,45.510000000000005,6.06966,431.53366,180.00000000000006,3.0095143,19.27755,10.8,1.7531273,4.7726274,2.1,4.2519383,69.24143,46.25,-0.41449507524321805,-0.4186379485411743,-0.3970393332005246,-0.3899606357074357,-0.3835376149224138,2.683026301955741,-0.21945642127910145,-0.30356759489697327,-0.2825555138432935,-0.29612060855578654,-0.3010989741847774,-0.28427564278974277,-0.30109897418477743,3.377002380472985,-0.3076527356636323,-0.31331316221103583,-0.3125085968556157,-0.2927700218845599,-0.4075517054266865,-0.4068546077652136,-0.40894436648589017,-0.4068546077652136,-0.41102957618643454,2.457880483381614,1.8096961070853859,-0.5943962929568426,-0.6008332285292086,0.3204417519098647,0.42552013516770054,-0.1856053789967562,-0.3588144532500102,2.9547190011993294,-1.3495440319622802,2.4637078919319038,-1.3437746049289003,-0.4482967091882225,-0.3557274204398976
